Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
Genome assembly workflow for nanopore reads, for TSI	WorkflowHub	1114	https://workflowhub.eu/workflows/1114?version=1	Anna Syme	tsi, genome_assembly, nanopore	2024-09-03	2026-05-13	1	1	10.0	fastqc, bandage_info, bandage_image, split_file_to_collection, porechop, collapse_dataset, nanofilt, flye, fasta-stats	Cross-assembly, Sequence composition calculation, Statistical calculation, Genome assembly, Sequence assembly visualisation, Mapping assembly, Sequencing quality control, De-novo assembly		GPL-3.0-or-later	10.48546/workflowhub.workflow.1114.1	Australian BioCommons, Galaxy Australia	True	False
ERGA-BGE Genome Report ANNOT analyses	WorkflowHub	1096	https://workflowhub.eu/workflows/1096?version=2	Diego De Panis	annotation, biodiversity, erga, genomics, qc	2025-02-05	2026-05-13	2	2	13.0	pick_value, lftp, busco, agat, tp_text_file_with_recurring_lines, omark, collapse_dataset	Sequence assembly validation, Differential protein expression profiling, Data handling, Genome annotation	Genomics	MIT		ERGA Annotation	True	False
ERGA Long reads+HiC Assembly+QC Hifiasm v2602 (WF2)	WorkflowHub	605	https://workflowhub.eu/workflows/605?version=2	Diego De Panis	assembly+qc, erga, hi-c, hifi	2026-02-11	2026-05-13	2	2	25.0	merqury, param_value_from_file, pick_value, busco, bandage_image, hifiasm, gfastats, gfa_to_fa	Scaffolding, Sequence assembly validation, k-mer counting, Data handling, Genome assembly, Sequence assembly visualisation, De-novo assembly, Phasing	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Profiling Long Reads v2602 (WF1)	WorkflowHub	603	https://workflowhub.eu/workflows/603?version=2	Diego De Panis	erga, profiling	2024-09-18	2026-05-13	2	2	17.0	param_value_from_file, tp_find_and_replace, smudgeplot, meryl, tp_grep_tool, Convert characters1, tp_cut_tool, Cut1, genomescope, Add_a_column1	k-mer counting, Sequence trimming, Genotyping	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC HiFi v2601 (WF0)	WorkflowHub	602	https://workflowhub.eu/workflows/602?version=2	Diego De Panis	dataqc, erga, hifi	2024-09-18	2026-05-13	2	2	5.0	multiqc, fastqc, cutadapt, seqkit_stats, collapse_dataset	Sequence trimming, Sequence composition calculation, Statistical calculation, Sequence conversion, DNA translation, Validation, Primer removal, Read pre-processing, DNA transcription, Sequencing quality control	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC Illumina v2601 (WF0)	WorkflowHub	601	https://workflowhub.eu/workflows/601?version=2	Diego De Panis	dataqc, erga, illumina	2024-09-18	2026-05-13	2	2	7.0	multiqc, __FLATTEN__, fastqc, seqkit_stats, fastp, collapse_dataset	Sequence trimming, Sequence composition calculation, Statistical calculation, Sequence conversion, DNA translation, Validation, Sequence contamination filtering, DNA transcription, Sequencing quality control	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC ONT v2505 (WF0)	WorkflowHub	697	https://workflowhub.eu/workflows/697?version=1	Diego De Panis	dataqc, erga, ont	2024-01-08	2026-05-13	1	1	3.0	collapse_dataset, nanoplot, seqkit_stats	Sequence trimming, DNA transcription, Box-Whisker plot plotting, Sequence conversion, DNA translation, Scatter plot plotting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Long Reads PriAlt Purge+QC v2505 (WF3)	WorkflowHub	1163	https://workflowhub.eu/workflows/1163?version=2	Diego De Panis	assembly, erga, hifi, qc	2025-06-01	2026-05-13	2	2	25.0	merqury, param_value_from_file, busco, purge_dups, gfastats, gfa_to_fa, cat1, minimap2	Scaffolding, Sequence assembly validation, k-mer counting, Phasing, Read binning, Pairwise sequence alignment, Data handling, Genome assembly, De-novo assembly	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA HiC Pri Scaffolding+QC YaHS v2505 (WF4)	WorkflowHub	1164	https://workflowhub.eu/workflows/1164?version=2	Diego De Panis	assembly, erga, hic, qc	2025-02-03	2026-05-13	2	2	33.0	pairtools_parse, __EXTRACT_DATASET__, pretext_map, pairtools_dedup, pretext_snapshot, gfa_to_fa, yahs, merqury, bwa_mem2, param_value_from_file, busco, CONVERTER_fasta_to_fai, pairtools_split, gfastats, Cut1, sambamba_flagstat, pick_value, sambamba_merge, pairtools_sort	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Data handling, Genome assembly, De-novo assembly, Phasing	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Long reads-only Assembly+QC Hifiasm v2505 (WF2)	WorkflowHub	1162	https://workflowhub.eu/workflows/1162?version=2	Diego De Panis	assembly, erga, hifi, ont, qc	2025-05-30	2026-05-13	2	2	22.0	merqury, param_value_from_file, busco, bandage_image, hifiasm, gfastats, gfa_to_fa	Scaffolding, Sequence assembly validation, k-mer counting, Data handling, Genome assembly, Sequence assembly visualisation, De-novo assembly, Phasing	Whole genome sequencing	MIT		ERGA Assembly	True	False
